nro_app,id_artefacto,nombre,tier,estado_app,donde_esta
166,38,Bruno Vaccotti,N1,confirmado,"Sábado 10:30 · Business — Minería en Paraguay y la región Gustavo Hive , Mario Morlas , Bruno Vacotti , El Sultán (venezuela) | Sábado 14:50 · Pastilla — Halving 2028: ¿Muerte de la Minería Privada? : Bruno Vacotti, Dušan Matuška, Fabrizio Bianchi. MOD: Juan Manuel Dominguez"
167,40,El Bull (Somos Bulls),N2,confirmado,Viernes 17:30 · WorkShop — Del prompt al backtest: un agente de IA que investiga estrategias sin engañarte : El Bull (Somos Bulls)
168,41,Noelia Robles,N1,revision,Sábado 10:00 · ABC — Cripto para gente normal: de cero a usarla Bitacora (Noelia Robles)
170,43,Leonardo Klug (Leoklug),N2,disponible,"Sábado 11:00 · ABC — El cine, la mente y Bitcoin: Navegando las paradojas del HODL : Leonardo Klug (Leoklug)"
171,44,Marcos Zocaro,N2,disponible,Viernes 13:00 · ABC — Tributación de las Finanzas Descentralizadas en Bitcoin y criptoactivos : Marcos Zocaro
172,45,Malena Martin,N2,confirmado,Viernes 11:30 · WorkShop — La nueva guerra por la atención: Cómo posicionar una marca dentro de la inteligencia artificial : Malena Martin
173,46,Borja Martel Seward,N1,confirmado,Viernes 11:30 · Pastilla — Cómo se ven los mercados usando el Bitcoin como un Standard
174,47,Andrés Felipe Durán,N1,confirmado,"Viernes 13:40 · Visión — ""Seed"" Propiedad Intelectual Programable en la Era de la IA Andrés Felipe Durán"
175,212,@NikoSeguro (Niko Seguro),,disponible,Viernes 15:45 · Business — Posicionamiento de marcas en las respuestas de la IA
176,49,Fabrizio Bianchi (Hashrate),N2,disponible,"Sábado 14:50 · Pastilla — Halving 2028: ¿Muerte de la Minería Privada? : Bruno Vacotti, Dušan Matuška, Fabrizio Bianchi. MOD: Juan Manuel Dominguez"
177,50,Andrés Ondarra,N1,disponible,"Viernes 17:00 · Visión — Hacia donde van los Exchanges Julián Colombo, Manuel Beaudroit, Andrés Ondarra, otros"
178,51,León Acosta,N3,disponible,"Sábado 10:30 · WorkShop — Bitcoin Post-Cuántico en 60 Minutos, del Cero a un Demo"
185,223,@fede (Federico Brom),,disponible,Sábado 15:30 · Pastilla — Offgrid Mining y Rentabilidad
188,225,Julian Drangosch,,disponible,"Sábado 12:00 · Visión — Abuso de Infraestructura IA: Phishing, Cryptofakes y Envenenamiento de LLM"
191,228,Catrya (Catrya Catrya),,disponible,"Viernes 14:30 · ABC — Bitcoin bajo sanciones y bloqueos: Irán, Cuba, Venezuela"
192,229,Forte11 (Javier Forte),,disponible,"Viernes 15:00 · WorkShop — Cashu: Bitcoin privado, simple y accesible"
194,180,Iván Cristini,,disponible,Viernes 19:00 · Visión — La próxima revolución no es la IA: es lo que la IA hará con nuestra conciencia
195,182,Francisco Jose Coronel Calvet (Fran Coronel),,disponible,Sábado 10:20 · Visión — From HODL to MOVE: When Bitcoin Meets Physical AI and Robotics
196/235,184,Jeronimo Ferrer,,disponible,Viernes 15:40 · ABC — Bitcoin Walking Tour: Como enseñar bitcoin en el mundo real.
204,217,TechSavvy Frank (Frank Moreira),,disponible,Viernes 16:50 · ABC — Impacto de las redes sociales en las Economías Circulares de Bitcoin
206,230,xyzconstant (Diego Brito),,disponible,Viernes 18:30 · WorkShop — libmultiprocess: Cómo bitcoind se está dividiendo en varios procesos
208,232,@vakanoBTC (Arley Lozano),,disponible,Sábado 15:30 · Pastilla — Offgrid Mining y Rentabilidad
